timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540466205101,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205104,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205107,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205110,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205113,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205117,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205120,7,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205127,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205130,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205133,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205136,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205139,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205139,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205142,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205142,6,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205145,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,2,0,0
1540466205148,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205152,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205150,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205155,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205155,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205158,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205159,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205162,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205164,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,2,0,0
1540466205166,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205169,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205171,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205174,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205175,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205178,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205178,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205181,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205183,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,2,0,0
1540466205185,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205188,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205189,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,2,0,0
1540466205191,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205194,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205196,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205197,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205200,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205199,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205203,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205203,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205207,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205208,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205210,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205212,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205215,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205217,6,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205220,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205224,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205223,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205227,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205227,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205230,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205231,5,HTTP Request,200,,Load Test 1-100,text,true,,3567,273,2,2,1,0,0
1540466205235,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205236,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,3,0,1
1540466205238,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205241,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205241,6,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205244,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,2,0,0
1540466205247,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,2,0,0
1540466205249,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205251,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205253,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205255,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205257,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205259,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205260,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205263,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
1540466205263,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205266,5,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205266,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205271,4,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,1,0,0
1540466205271,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,1,0,0
1540466205275,3,HTTP Request,200,,Load Test 1-99,text,true,,3548,273,2,2,0,0,0
1540466205275,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,2,2,0,0,0
