sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,25504,353,301,753,2,1482,0.0,213.90769024314554,741.1629485066553,272.27792219594625
TOTAL,25504,353,301,753,2,1482,0.0,213.90769024314554,741.1629485066553,272.27792219594625
