sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,15126,8,2,479,8,25.178684309016457,0.0,304.2909734655696,1054.4248188519684,3548.350456168187
TOTAL,15126,8,2,479,8,25.178684309016457,0.0,304.2909734655696,1054.4248188519684,3548.350456168187
