sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,15126,8,3,8,2,479,0.0,304.2909734655696,1054.4248188519684,25.178684309016457
TOTAL,15126,8,3,8,2,479,0.0,304.2909734655696,1054.4248188519684,25.178684309016457
