timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540465779724,20,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,8,8,3,0,0
1540465779739,6,HTTP Request,200,,Spike Test 1-47,text,true,,3548,273,9,9,3,0,0
1540465779741,7,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,9,9,4,0,0
1540465779727,21,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,9,9,5,0,0
1540465779738,12,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,9,9,4,0,0
1540465779741,11,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,9,9,4,0,0
1540465779744,9,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,9,9,6,0,0
1540465779745,9,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,9,9,5,0,1
1540465779744,12,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,9,9,6,0,0
1540465779745,12,HTTP Request,200,,Spike Test 1-47,text,true,,3548,273,9,9,5,0,0
1540465779736,23,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,9,9,2,0,0
1540465779754,6,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,9,9,2,0,0
1540465779750,12,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,9,9,10,0,0
1540465779749,15,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,9,9,10,0,0
1540465779752,14,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,10,10,8,0,0
1540465779756,12,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,10,10,1,0,0
1540465779748,22,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,10,10,11,0,0
1540465779762,11,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,10,10,7,0,0
1540465779759,16,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,10,10,9,0,0
1540465779755,20,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,10,10,2,0,0
1540465779757,21,HTTP Request,200,,Spike Test 1-47,text,true,,3548,273,10,10,12,0,0
1540465779765,15,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,10,10,5,0,0
1540465779765,17,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,10,10,5,0,1
1540465779768,17,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,11,11,8,0,0
1540465779770,17,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,11,11,3,0,0
1540465779775,15,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,11,11,7,0,0
1540465779775,15,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,11,11,8,0,0
1540465779766,25,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,11,11,4,0,0
1540465779780,13,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,11,11,6,0,0
1540465779782,13,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,11,11,5,0,0
1540465779785,12,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,11,11,3,0,1
1540465779773,26,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,11,11,7,0,0
1540465779778,22,HTTP Request,200,,Spike Test 1-47,text,true,,3548,273,11,11,7,0,0
1540465779787,14,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,11,11,1,0,0
1540465779793,10,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,11,11,6,0,0
1540465779791,16,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,12,12,9,0,0
1540465779790,18,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,12,12,8,0,0
1540465779791,19,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,12,12,7,0,0
1540465779798,14,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,12,12,8,0,0
1540465779760,52,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,12,12,8,0,0
1540465779799,16,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,12,12,5,0,0
1540465779809,6,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,12,12,0,0,0
1540465779795,22,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,12,12,10,0,0
1540465779813,8,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,12,12,4,0,0
1540465779810,12,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,12,12,5,0,0
1540465779812,11,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,12,12,3,0,0
